Symbol,Price,Volume,Market Cap,Timestamp
AAPL,+1.34,"38,221,976",3.025T,2023-12-13 02:29:10
GOOGL,-0.84,"23,073,467",1.666T,2023-12-13 02:29:11
MSFT,+2.77,"17,785,597",2.78T,2023-12-13 02:29:13
AMZN,+1.52,"35,470,905",1.523T,2023-12-13 02:29:15
FB,+8.96,"14,685,104",858.963B,2023-12-13 02:29:17
TSLA,-2.87,"92,393,669",752.991B,2023-12-13 02:29:19
BABA,-0.01,"14,047,532",181.738B,2023-12-13 02:29:21
NVDA,+9.97,"34,428,046",1.176T,2023-12-13 02:29:22
JPM,+1.41,"7,088,268",464.05B,2023-12-13 02:29:24
V,+2.90,"2,853,396",533.157B,2023-12-13 02:29:26
JNJ,-0.07,"3,990,702",373.116B,2023-12-13 02:29:28
WMT,+0.07,"6,157,580",407.361B,2023-12-13 02:29:30
PG,+0.10,"3,976,609",343.929B,2023-12-13 02:29:31
MA,+5.14,"1,667,502",394.663B,2023-12-13 02:29:33
HD,+1.72,"2,175,747",331.472B,2023-12-13 02:29:35
UNH,+1.40,"1,668,065",504.158B,2023-12-13 02:29:37
DIS,-1.09,"9,006,358",166.751B,2023-12-13 02:29:38
PYPL,-0.17,"10,967,855",63.47B,2023-12-13 02:29:40
INTC,-0.51,"26,064,439",185.609B,2023-12-13 02:29:42
CMCSA,+0.01,"11,499,499",171.73B,2023-12-13 02:29:44
NFLX,+3.01,"2,805,331",202.602B,2023-12-13 02:29:46
VZ,-0.38,"14,161,555",156.771B,2023-12-13 02:29:48
ADBE,+8.29,"2,260,201",288.43B,2023-12-13 02:29:50
CRM,+4.31,"4,897,594",248.205B,2023-12-13 02:29:52
BAC,-0.12,"26,995,970",243.189B,2023-12-13 02:29:53
KO,+0.36,"10,111,657",256.811B,2023-12-13 02:29:55
PEP,+0.64,"3,029,190",231.616B,2023-12-13 02:29:57
TM,-2.25,"255,387",249.437B,2023-12-13 02:29:59
NKE,+1.03,"6,077,684",182.081B,2023-12-13 02:30:01
ABBV,+2.03,"4,573,057",270.604B,2023-12-13 02:30:02
CSCO,-0.08,"13,932,755",200.37B,2023-12-13 02:30:04
PFE,-0.06,"44,073,769",161.397B,2023-12-13 02:30:06
XOM,-1.59,"20,817,456",391.803B,2023-12-13 02:30:07
CVX,-1.83,"8,035,625",269.042B,2023-12-13 02:30:09
MRK,+0.02,"4,591,644",264.526B,2023-12-13 02:30:11
ABT,+0.50,"4,154,690",185.272B,2023-12-13 02:30:13
QCOM,+0.58,"6,973,171",152.125B,2023-12-13 02:30:15
T,-0.21,"34,990,540",117.332B,2023-12-13 02:30:16
WFC,+0.48,"15,132,934",168.799B,2023-12-13 02:30:18
MDT,+0.39,"4,079,508",106.518B,2023-12-13 02:30:20
BA,+0.56,"5,032,632",150.421B,2023-12-13 02:30:21
MMM,-0.59,"3,158,186",56.651B,2023-12-13 02:30:23
IBM,+1.19,"4,593,951",150.391B,2023-12-13 02:30:25
GE,+2.06,"3,142,451",133.153B,2023-12-13 02:30:27
CAT,+0.54,"1,572,078",133.105B,2023-12-13 02:30:29
HON,+1.12,"2,968,789",132.846B,2023-12-13 02:30:31
LMT,+0.36,"778,145",112.046B,2023-12-13 02:30:32
GS,+0.89,"912,951",115.003B,2023-12-13 02:30:34
FDX,+1.67,"1,350,249",68.649B,2023-12-13 02:30:37
MS,+0.78,"5,507,300",137.214B,2023-12-13 02:30:38
